precio_noche,estrellas,puntuacion,noches,features,scaledFeatures,prediction
386540.0,4.0,8.4,1.0,"[386540.0,4.0,8.4,1.0]","[2.1069721444655136,2.1376484723156848,3.1718964750480865,4.678687769727618]",1
64896.0,0.0,8.7,1.0,"[64896.0,0.0,8.7,1.0]","[0.3537384598935012,0.0,3.285178492014089,4.678687769727618]",0
171927.0,0.0,9.8,1.0,"[171927.0,0.0,9.8,1.0]","[0.9371485483559847,0.0,3.700545887556101,4.678687769727618]",0
51041.0,0.0,9.6,1.0,"[51041.0,0.0,9.6,1.0]","[0.27821691215828703,0.0,3.625024542912098,4.678687769727618]",0
150000.0,0.0,10.0,1.0,"[150000.0,0.0,10.0,1.0]","[0.8176277271946681,0.0,3.7760672322001025,4.678687769727618]",0
2289000.0,3.0,8.0,1.0,"[2289000.0,3.0,8.0,1.0]","[12.476999116990635,1.6032363542367636,3.020853785760082,4.678687769727618]",1
1378999.0,0.0,8.0,1.0,"[1378999.0,0.0,8.0,1.0]","[7.516718787824801,0.0,3.020853785760082,4.678687769727618]",1
213118.0,0.0,9.6,1.0,"[213118.0,0.0,9.6,1.0]","[1.1616745730951552,0.0,3.625024542912098,4.678687769727618]",0
290700.0,0.0,10.0,1.0,"[290700.0,0.0,10.0,1.0]","[1.5845625353032669,0.0,3.7760672322001025,4.678687769727618]",0
73953.0,0.0,8.3,1.0,"[73953.0,0.0,8.3,1.0]","[0.40310682206151527,0.0,3.1341358027260853,4.678687769727618]",0
68952.0,0.0,8.8,1.0,"[68952.0,0.0,8.8,1.0]","[0.37584711363684503,0.0,3.322939164336091,4.678687769727618]",0
146016.0,0.0,8.0,1.0,"[146016.0,0.0,8.0,1.0]","[0.7959115347603777,0.0,3.020853785760082,4.678687769727618]",0
44436.0,0.0,9.0,1.0,"[44436.0,0.0,9.0,1.0]","[0.24221403790414847,0.0,3.3984605089800923,4.678687769727618]",0
127115.0,0.0,8.1,1.0,"[127115.0,0.0,8.1,1.0]","[0.6928849902823349,0.0,3.058614458082083,4.678687769727618]",0
61327.0,0.0,8.7,1.0,"[61327.0,0.0,8.7,1.0]","[0.33428437083778273,0.0,3.285178492014089,4.678687769727618]",0
5252731.0,4.0,8.6,1.0,"[5252731.0,4.0,8.6,1.0]","[28.63185672729984,2.1376484723156848,3.247417819692088,4.678687769727618]",1
60300.0,0.0,9.6,1.0,"[60300.0,0.0,9.6,1.0]","[0.3286863463322566,0.0,3.625024542912098,4.678687769727618]",0
79318.0,0.0,8.8,1.0,"[79318.0,0.0,8.8,1.0]","[0.43235064043751126,0.0,3.322939164336091,4.678687769727618]",0
122400.0,0.0,8.6,1.0,"[122400.0,0.0,8.6,1.0]","[0.6671842253908492,0.0,3.247417819692088,4.678687769727618]",0
50000.0,0.0,9.2,1.0,"[50000.0,0.0,9.2,1.0]","[0.27254257573155605,0.0,3.4739818536240943,4.678687769727618]",0
232000.0,0.0,8.8,1.0,"[232000.0,0.0,8.8,1.0]","[1.26459755139442,0.0,3.322939164336091,4.678687769727618]",0
45427.0,0.0,7.9,1.0,"[45427.0,0.0,7.9,1.0]","[0.24761583175514792,0.0,2.9830931134380814,4.678687769727618]",0
420000.0,0.0,7.1,1.0,"[420000.0,0.0,7.1,1.0]","[2.2893576361450707,0.0,2.6810077348620727,4.678687769727618]",0
236219.0,0.0,9.4,1.0,"[236219.0,0.0,9.4,1.0]","[1.2875946939346488,0.0,3.5495031982680967,4.678687769727618]",0
106000.0,0.0,7.3,1.0,"[106000.0,0.0,7.3,1.0]","[0.5777902605508988,0.0,2.756529079506075,4.678687769727618]",0
124384.0,3.0,8.6,1.0,"[124384.0,3.0,8.6,1.0]","[0.6779987147958774,1.6032363542367636,3.247417819692088,4.678687769727618]",1
89545.0,0.0,8.7,1.0,"[89545.0,0.0,8.7,1.0]","[0.4880964988776437,0.0,3.285178492014089,4.678687769727618]",0
141185.0,0.0,8.0,1.0,"[141185.0,0.0,8.0,1.0]","[0.7695784710931948,0.0,3.020853785760082,4.678687769727618]",0
45000.0,0.0,8.3,1.0,"[45000.0,0.0,8.3,1.0]","[0.24528831815840044,0.0,3.1341358027260853,4.678687769727618]",0
73910.0,3.0,8.5,1.0,"[73910.0,3.0,8.5,1.0]","[0.4028724354463861,1.6032363542367636,3.2096571473700872,4.678687769727618]",1
85627.0,4.0,8.6,1.0,"[85627.0,4.0,8.6,1.0]","[0.46674006264331896,2.1376484723156848,3.247417819692088,4.678687769727618]",1
143959.0,0.0,8.8,1.0,"[143959.0,0.0,8.8,1.0]","[0.7846991331947815,0.0,3.322939164336091,4.678687769727618]",0
300000.0,0.0,10.0,1.0,"[300000.0,0.0,10.0,1.0]","[1.6352554543893363,0.0,3.7760672322001025,4.678687769727618]",0
132554.0,0.0,9.5,1.0,"[132554.0,0.0,9.5,1.0]","[0.7225321716704136,0.0,3.5872638705900974,4.678687769727618]",0
144664.0,0.0,9.0,1.0,"[144664.0,0.0,9.0,1.0]","[0.7885419835125964,0.0,3.3984605089800923,4.678687769727618]",0
360000.0,0.0,9.8,1.0,"[360000.0,0.0,9.8,1.0]","[1.9623065452672035,0.0,3.700545887556101,4.678687769727618]",0
196373.0,4.0,8.5,1.0,"[196373.0,4.0,8.5,1.0]","[1.070400064482657,2.1376484723156848,3.2096571473700872,4.678687769727618]",1
324481.0,4.0,7.8,1.0,"[324481.0,4.0,7.8,1.0]","[1.7686977503190207,2.1376484723156848,2.94533244111608,4.678687769727618]",1
105300.0,0.0,9.2,1.0,"[105300.0,0.0,9.2,1.0]","[0.573974664490657,0.0,3.4739818536240943,4.678687769727618]",0
39424.0,0.0,7.7,1.0,"[39424.0,0.0,7.7,1.0]","[0.2148943701128173,0.0,2.907571768794079,4.678687769727618]",0
155000.0,3.0,7.7,1.0,"[155000.0,3.0,7.7,1.0]","[0.8448819847678237,1.6032363542367636,2.907571768794079,4.678687769727618]",1
131595.0,0.0,8.0,1.0,"[131595.0,0.0,8.0,1.0]","[0.7173048050678823,0.0,3.020853785760082,4.678687769727618]",0
100138.0,0.0,9.0,1.0,"[100138.0,0.0,9.0,1.0]","[0.5458373689721312,0.0,3.3984605089800923,4.678687769727618]",0
