nombre_hotel,ciudad,tipo_alojamiento,precio_clp,puntuacion,prediction
Apart Hotel Andino Antofagasta,Antofagasta,apartamento,82822.0,7.0,1
Apart Hotel Andino Antofagasta,Antofagasta,apartamento,79329.0,7.1,1
Apart Hotel Astore,Antofagasta,apartamento,158700.0,7.1,2
Apart Hotel Central Antofagasta,Antofagasta,apartamento,80781.0,9.5,0
Apart Hotel Central Antofagasta,Antofagasta,apartamento,118247.0,7.3,1
Apart Hotel Costanera Antofagasta,Antofagasta,apartamento,63625.0,9.6,0
Apart Hotel Costanera Antofagasta,Antofagasta,apartamento,97591.0,7.5,1
Apart Hotel Del Mar Antofagasta,Antofagasta,apartamento,78879.0,7.3,1
Apart Hotel Del Mar Antofagasta,Antofagasta,apartamento,106047.0,7.4,1
Apart Hotel Norte Antofagasta,Antofagasta,apartamento,96889.0,8.7,0
Apart Hotel Plaza Antofagasta,Antofagasta,apartamento,58781.0,7.0,1
Apart Hotel Plaza Antofagasta,Antofagasta,apartamento,85473.0,9.0,0
Apart Hotel Primavera Antofagasta,Antofagasta,apartamento,63145.0,8.9,0
Apart Hotel Primavera Antofagasta,Antofagasta,apartamento,124407.0,9.2,0
Apart Hotel Sur Antofagasta,Antofagasta,apartamento,67434.0,9.6,0
Apart Hotel Sur Antofagasta,Antofagasta,apartamento,107164.0,7.8,1
Apart Hotel Vista Hermosa Antofagasta,Antofagasta,apartamento,51456.0,6.8,1
Avg. per night,Antofagasta,apartamento,63650.0,8.6,0
Diego de Almagro,Antofagasta,apartamento,52723.0,7.7,1
Hotel Antofagasta Inn,Antofagasta,apartamento,51220.0,7.7,1
Hotel Diego de Almagro,Antofagasta,apartamento,64190.0,6.8,1
Hotel Florencia Suites & Apartments,Antofagasta,apartamento,214500.0,7.8,2
Tempora Apart Hotel,Antofagasta,apartamento,90000.0,7.8,1
ibis Antofagasta,Antofagasta,apartamento,50879.0,7.5,1
Apart Hotel Andino Arica,Arica,apartamento,49019.0,8.0,1
Apart Hotel Central Arica,Arica,apartamento,47378.0,8.2,1
Apart Hotel Central Arica,Arica,apartamento,53475.0,8.3,0
Apart Hotel Costanera Arica,Arica,apartamento,81385.0,9.3,0
Apart Hotel Costanera Arica,Arica,apartamento,81935.0,7.3,1
Apart Hotel Del Mar Arica,Arica,apartamento,61754.0,7.4,1
Apart Hotel Norte Arica,Arica,apartamento,65014.0,9.6,0
Apart Hotel Norte Arica,Arica,apartamento,54286.0,8.8,0
Apart Hotel Plaza Arica,Arica,apartamento,66181.0,7.0,1
Apart Hotel Plaza Arica,Arica,apartamento,88815.0,9.2,0
Apart Hotel Primavera Arica,Arica,apartamento,101406.0,9.3,0
Apart Hotel Sur Arica,Arica,apartamento,98223.0,8.3,0
Apart Hotel Viscachani,Arica,apartamento,118109.0,8.0,1
Apart Hotel Vista Hermosa Arica,Arica,apartamento,108110.0,8.9,0
Avg. per night,Arica,apartamento,104500.0,8.3,0
Hotel Arica Suites,Arica,apartamento,48639.0,7.0,1
La Casa del Sol,Arica,apartamento,44082.0,8.5,0
Apart Hotel Andino Calama,Calama,apartamento,48605.0,7.9,1
Apart Hotel Andino Calama,Calama,apartamento,63805.0,9.2,0
Apart Hotel Central Calama,Calama,apartamento,46809.0,7.2,1
Apart Hotel Central Calama,Calama,apartamento,101954.0,8.9,0
Apart Hotel Costanera Calama,Calama,apartamento,97559.0,7.8,1
Apart Hotel Costanera Calama,Calama,apartamento,121109.0,8.5,2
Apart Hotel Del Mar Calama,Calama,apartamento,67754.0,6.8,1
Apart Hotel Del Mar Calama,Calama,apartamento,92091.0,8.4,0
Apart Hotel Norte Calama,Calama,apartamento,59433.0,7.7,1
Apart Hotel Norte Calama,Calama,apartamento,49154.0,9.1,0
Apart Hotel Plaza Calama,Calama,apartamento,95795.0,9.6,0
Apart Hotel Plaza Calama,Calama,apartamento,83660.0,7.0,1
Apart Hotel Primavera Calama,Calama,apartamento,78166.0,7.0,1
Apart Hotel Sur Calama,Calama,apartamento,80667.0,8.5,0
Apart Hotel Sur Calama,Calama,apartamento,70296.0,9.8,0
Apart Hotel Vista Hermosa Calama,Calama,apartamento,81760.0,6.8,1
Apart Hotel Vista Hermosa Calama,Calama,apartamento,106562.0,9.6,0
Ayelen Apart Hotel,Calama,apartamento,121689.0,8.1,2
Departamento Central Ejecutivo- Apart Hotel,Calama,apartamento,170839.0,8.6,2
Hotel Calama,Calama,apartamento,47773.0,7.9,1
Apart Hotel Andino Chillan,Chillan,apartamento,101587.0,7.0,1
Apart Hotel Andino Chillan,Chillan,apartamento,88404.0,7.3,1
Apart Hotel Central Chillan,Chillan,apartamento,49237.0,6.9,1
Apart Hotel Central Chillan,Chillan,apartamento,56698.0,9.3,0
Apart Hotel Costanera Chillan,Chillan,apartamento,45387.0,9.0,0
Apart Hotel Costanera Chillan,Chillan,apartamento,55095.0,8.2,1
Apart Hotel Del Mar Chillan,Chillan,apartamento,60442.0,8.8,0
Apart Hotel Las Terrazas Suite,Chillan,apartamento,60840.0,8.9,0
Apart Hotel Norte Chillan,Chillan,apartamento,108101.0,7.4,1
Apart Hotel Plaza Chillan,Chillan,apartamento,64652.0,7.9,1
Apart Hotel Plaza Chillan,Chillan,apartamento,119977.0,9.3,0
Apart Hotel Primavera Chillan,Chillan,apartamento,71472.0,7.7,1
Apart Hotel Primavera Chillan,Chillan,apartamento,57208.0,7.7,1
Apart Hotel Sur Chillan,Chillan,apartamento,63114.0,8.1,1
Apart Hotel Vista Hermosa Chillan,Chillan,apartamento,118255.0,8.3,2
Apart Hotel Vista Hermosa Chillan,Chillan,apartamento,83599.0,9.6,0
Apart hotel Chillan - Full house - Ohiggins - Empresas- Factura - Parking,Chillan,apartamento,45067.0,8.1,1
Hotel Chillan Plaza,Chillan,apartamento,57396.0,6.9,1
Hotel Nevados,Chillan,apartamento,51284.0,7.1,1
Pewma Apart Hotel,Chillan,apartamento,55162.0,9.3,0
Apart Hotel Andino Concepcion,Concepcion,apartamento,52581.0,7.6,1
Apart Hotel Andino Concepcion,Concepcion,apartamento,78619.0,7.8,1
Apart Hotel Castellon 176,Concepcion,apartamento,102942.0,8.3,0
Apart Hotel Central Concepcion,Concepcion,apartamento,51012.0,6.9,1
Apart Hotel Costanera Concepcion,Concepcion,apartamento,45699.0,8.4,0
Apart Hotel Costanera Concepcion,Concepcion,apartamento,91304.0,7.7,1
Apart Hotel Del Mar Concepcion,Concepcion,apartamento,101765.0,8.8,0
Apart Hotel Del Mar Concepcion,Concepcion,apartamento,49131.0,8.0,1
Apart Hotel Norte Concepcion,Concepcion,apartamento,87996.0,9.5,0
Apart Hotel Plaza Concepcion,Concepcion,apartamento,69701.0,7.9,1
Apart Hotel Plaza Concepcion,Concepcion,apartamento,94361.0,9.4,0
Apart Hotel Primavera Concepcion,Concepcion,apartamento,102447.0,7.6,1
Apart Hotel Sur Concepcion,Concepcion,apartamento,110924.0,7.9,1
Apart Hotel Sur Concepcion,Concepcion,apartamento,54081.0,7.1,1
Apart Hotel Uman,Concepcion,apartamento,74000.0,8.6,0
Apart Hotel Vista Hermosa Concepcion,Concepcion,apartamento,45647.0,8.1,1
Apart Hotel Vista Hermosa Concepcion,Concepcion,apartamento,116515.0,7.9,1
Apart Lomas de San Andres 2H,Concepcion,apartamento,174480.0,9.4,2
Apart Lomas de San Andres CENTRO,Concepcion,apartamento,193418.0,9.7,2
Apartamento en Concepción con estacionamiento privado,Concepcion,apartamento,157410.0,9.8,2
Apartamentos Concepción Centro,Concepcion,apartamento,137904.0,9.6,2
Apartamentos Concepción Centro,Concepcion,apartamento,47500.0,9.6,0
"Céntrico,acogedor, con gran vista y estacionamiento",Concepcion,apartamento,95000.0,9.8,0
EcoApart Concepción,Concepcion,apartamento,106358.0,8.4,0
Hotel Diego de Almagro,Concepcion,apartamento,41061.0,7.4,1
Hotel El Araucano,Concepcion,apartamento,59769.0,7.0,1
TinyApartments - estudio pleno centro Concepción,Concepcion,apartamento,68502.0,9.3,0
Apart Hotel Andino Copiapo,Copiapo,apartamento,78571.0,7.9,1
Apart Hotel Central Copiapo,Copiapo,apartamento,76965.0,7.0,1
Apart Hotel Central Copiapo,Copiapo,apartamento,56747.0,8.7,0
Apart Hotel Costanera Copiapo,Copiapo,apartamento,65373.0,9.1,0
Apart Hotel Del Mar Copiapo,Copiapo,apartamento,80630.0,6.6,1
Apart Hotel Del Mar Copiapo,Copiapo,apartamento,72987.0,9.2,0
Apart Hotel Norte Copiapo,Copiapo,apartamento,111081.0,9.1,0
Apart Hotel Plaza Copiapo,Copiapo,apartamento,106407.0,8.7,0
Apart Hotel Plaza Copiapo,Copiapo,apartamento,74878.0,7.1,1
Apart Hotel Primavera Copiapo,Copiapo,apartamento,65801.0,8.3,0
Apart Hotel Primavera Copiapo,Copiapo,apartamento,71404.0,9.2,0
