nombre_hotel,ciudad,plataforma,checkin,checkout,fecha_captura,grupo,integrante,precio_noche,precio_texto,zona_geografica
Hotel Plaza Colon,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:33.539000,G5_Turismo_Hoteleria,Lucas-Cheuque,45485,$45.485,Norte
Hotel Gavina Express Arica,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:33.733000,G5_Turismo_Hoteleria,Lucas-Cheuque,58178,$58.178,Norte
Hotel Y Restaurant Isidora,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:33.769000,G5_Turismo_Hoteleria,Lucas-Cheuque,40196,$40.196,Norte
Hotel Andalucía,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:33.794000,G5_Turismo_Hoteleria,Lucas-Cheuque,43634,$43.634,Norte
Panamericana Hotel Arica,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:33.818000,G5_Turismo_Hoteleria,Lucas-Cheuque,68119,$68.119,Norte
Hotel Concorde,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:33.846000,G5_Turismo_Hoteleria,Lucas-Cheuque,36176,$36.176,Norte
Hotel Samaña,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:33.883000,G5_Turismo_Hoteleria,Lucas-Cheuque,52149,$52.149,Norte
Amaru Hotel,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:33.916000,G5_Turismo_Hoteleria,Lucas-Cheuque,67434,$67.434,Norte
Hotel Del Valle Azapa,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:33.982000,G5_Turismo_Hoteleria,Lucas-Cheuque,56274,$56.274,Norte
Hotel & Spa Las Taguas,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.016000,G5_Turismo_Hoteleria,Lucas-Cheuque,71929,$71.929,Norte
Le Prince Arica,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.046000,G5_Turismo_Hoteleria,Lucas-Cheuque,32685,$32.685,Norte
Raymi House Hostel,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.071000,G5_Turismo_Hoteleria,Lucas-Cheuque,24636,$24.636,Norte
Hostel Posada de Gallo,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.092000,G5_Turismo_Hoteleria,Lucas-Cheuque,21156,$21.156,Norte
Antay Hotel & Spa,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.113000,G5_Turismo_Hoteleria,Lucas-Cheuque,155494,$155.494,Norte
Hotel Savona,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.147000,G5_Turismo_Hoteleria,Lucas-Cheuque,60294,$60.294,Norte
Hotel Puerto Chinchorro,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.173000,G5_Turismo_Hoteleria,Lucas-Cheuque,75741,$75.741,Norte
Hostel Willka Kuti Backpackers,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.195000,G5_Turismo_Hoteleria,Lucas-Cheuque,25852,$25.852,Norte
Hostal D' Silvia,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.217000,G5_Turismo_Hoteleria,Lucas-Cheuque,40196,$40.196,Norte
Diego De Almagro Arica,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.241000,G5_Turismo_Hoteleria,Lucas-Cheuque,101194,$101.194,Norte
Novotel Arica,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.263000,G5_Turismo_Hoteleria,Lucas-Cheuque,107113,$107.113,Norte
Apart Hotel Viscachani,Arica,Kayak.cl,2026-04-23,2026-04-26,2026-04-22 15:00:34.287000,G5_Turismo_Hoteleria,Lucas-Cheuque,69814,$69.814,Norte
