nombre_hotel,plataforma,ciudad,estrellas,fecha_captura,grupo,integrante,precio_noche,puntuacion,tipo_alojamiento,url_origen,zona_geografica,estudiante,hotel_viaje,precio_original,precio_limpio,precio_clp,pais,adultos,noches,tipo_habitacion,segmento_precio
NH Iquique Pacifico,Booking.com,Iquique,4,2026-04-28 14:43:52.499,G5_Turismo_Hoteleria,camila-rojas,240675.0,8.6,otro,https://www.booking.com/hotel/cl/nh-iquique-pacifico.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Hotel Terrado Cavancha,Booking.com,Iquique,0,2026-04-28 14:43:30.191,G5_Turismo_Hoteleria,camila-rojas,150321.0,8.3,hotel,https://www.booking.com/hotel/cl/terrado-cavancha.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Holiday Inn Express - Iquique by IHG,Booking.com,Iquique,4,2026-04-28 14:43:50.851,G5_Turismo_Hoteleria,camila-rojas,165750.0,8.9,otro,https://www.booking.com/hotel/cl/holiday-inn-express-iquique.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Terrado Arturo Prat Iquique,Booking.com,Iquique,4,2026-04-28 14:43:32.177,G5_Turismo_Hoteleria,camila-rojas,102675.0,8.6,otro,https://www.booking.com/hotel/cl/terrado-arturo-prat-iquique.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Corazón de peninsula,Booking.com,Iquique,0,2026-04-27 01:54:20.648,G5_Turismo_Hoteleria,camila-rojas,108000.0,,otro,https://www.booking.com/hotel/cl/corazon-de-peninsula.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Departamento céntrico y cómodo,Booking.com,Iquique,0,2026-04-26 02:52:34.594,G5_Turismo_Hoteleria,camila-rojas,90000.0,10.0,otro,https://www.booking.com/hotel/cl/departamento-centrico-y-comodo.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Medio
Playa Hotel - Cavancha,Booking.com,Iquique,3,2026-04-28 14:43:38.631,G5_Turismo_Hoteleria,camila-rojas,109520.0,8.8,hotel,https://www.booking.com/hotel/cl/costa-cavancha-suites.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Departamentos Alpro Cavancha Vista a la Playa,Booking.com,Iquique,0,2026-04-26 02:53:15.797,G5_Turismo_Hoteleria,camila-rojas,71457.0,9.2,otro,https://www.booking.com/hotel/cl/alpro-cavancha-vista-a-la-playa.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Medio
Studio 56 Apart Hotel by Terrado Iquique,Booking.com,Iquique,3,2026-04-28 14:44:05.011,G5_Turismo_Hoteleria,camila-rojas,120794.0,8.0,apartamento,https://www.booking.com/hotel/cl/terrado-club-iquique.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Hilton Garden Inn Iquique,Booking.com,Iquique,3,2026-04-28 14:43:40.415,G5_Turismo_Hoteleria,camila-rojas,239574.0,8.4,otro,https://www.booking.com/hotel/cl/hilton-garden-inn-iquique-chile.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Gran Cavancha Suite,Booking.com,Iquique,0,2026-04-28 14:43:45.452,G5_Turismo_Hoteleria,camila-rojas,142268.0,8.4,otro,https://www.booking.com/hotel/cl/spark.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Terrado Suites Iquique,Booking.com,Iquique,4,2026-04-28 14:43:43.850,G5_Turismo_Hoteleria,camila-rojas,225482.0,8.4,otro,https://www.booking.com/hotel/cl/terrado-suites-iquique.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Vistara Suites,Booking.com,Iquique,0,2026-04-28 14:43:57.829,G5_Turismo_Hoteleria,camila-rojas,112741.0,9.2,otro,https://www.booking.com/hotel/cl/hostal-vistara.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Ocean Boulevard,Booking.com,Iquique,0,2026-04-28 14:43:49.142,G5_Turismo_Hoteleria,camila-rojas,180000.0,9.0,otro,https://www.booking.com/hotel/cl/ocean-boulevard-iquique.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Hotel Terra Iquique,Booking.com,Iquique,3,2026-04-28 14:43:56.057,G5_Turismo_Hoteleria,camila-rojas,123427.0,8.0,hotel,https://www.booking.com/hotel/cl/terra-iquique-iquique1.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
ibis Iquique,Booking.com,Iquique,3,2026-04-28 14:43:54.408,G5_Turismo_Hoteleria,camila-rojas,148302.0,7.9,otro,https://www.booking.com/hotel/cl/ibis-iquique.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
NH Iquique Costa,Booking.com,Iquique,4,2026-04-28 14:43:33.876,G5_Turismo_Hoteleria,camila-rojas,153685.0,8.4,otro,https://www.booking.com/hotel/cl/nh-iquique.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Hotel Cavancha,Booking.com,Iquique,3,2026-04-28 14:43:42.316,G5_Turismo_Hoteleria,camila-rojas,165000.0,7.7,hotel,https://www.booking.com/hotel/cl/cavancha-iquique2.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Hermoso departamento en primeria línea,Booking.com,Iquique,0,2026-04-28 14:44:14.848,G5_Turismo_Hoteleria,camila-rojas,139584.0,7.8,otro,https://www.booking.com/hotel/cl/acogedor-y-hermoso-departamento-en-primera-linea-de-playa-brava.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
HOTEL GAVINA EXPRESS IQUIQUE,Booking.com,Iquique,3,2026-04-28 14:44:06.625,G5_Turismo_Hoteleria,camila-rojas,134215.0,8.0,hotel,https://www.booking.com/hotel/cl/gavina-express-iquique-iquique.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Hotel Boutique Amalfi,Booking.com,Iquique,0,2026-04-28 14:44:24.067,G5_Turismo_Hoteleria,camila-rojas,116430.0,8.9,hotel,https://www.booking.com/hotel/cl/loft-amalfi.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Alem Do Horizonte,Booking.com,Iquique,0,2026-04-28 14:44:20.463,G5_Turismo_Hoteleria,camila-rojas,150321.0,9.2,otro,https://www.booking.com/hotel/cl/hostal-alem-do-horizonte.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
Hostal Litoral,Booking.com,Iquique,0,2026-04-27 01:56:38.625,G5_Turismo_Hoteleria,camila-rojas,200582.0,9.0,hostal,https://www.booking.com/hotel/cl/hostal-litoral.es-ar.html,Norte Grande,NaN,NaN,NaN,,,NaN,,,NaN,Premium
